"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","1038.15","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","1064.90","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","1100.28","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","1154.73","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","1187.72","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","55 years and over","Current dollars","75","units","0","v1063665286","7.3.2.2.3.4","1742.09","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","55 years and over","Current dollars","75","units","0","v1063665286","7.3.2.2.3.4","1736.42","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","55 years and over","Current dollars","75","units","0","v1063665286","7.3.2.2.3.4","1993.95","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","55 years and over","Current dollars","75","units","0","v1063665286","7.3.2.2.3.4","1944.97","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","55 years and over","Current dollars","75","units","0","v1063665286","7.3.2.2.3.4","1978.56","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","55 years and over","Current dollars","75","units","0","v1063665298","7.3.2.3.3.4","2205.96","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","55 years and over","Current dollars","75","units","0","v1063665298","7.3.2.3.3.4","1799.78","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","55 years and over","Current dollars","75","units","0","v1063665298","7.3.2.3.3.4","1871.17","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","55 years and over","Current dollars","75","units","0","v1063665298","7.3.2.3.3.4","2584.12","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","55 years and over","Current dollars","75","units","0","v1063665298","7.3.2.3.3.4","2205.80","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","55 years and over","Current dollars","75","units","0","v1063665310","7.3.2.4.3.4","1792.80","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","55 years and over","Current dollars","75","units","0","v1063665310","7.3.2.4.3.4","1794.91","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","55 years and over","Current dollars","75","units","0","v1063665310","7.3.2.4.3.4","2058.77","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","55 years and over","Current dollars","75","units","0","v1063665310","7.3.2.4.3.4","1939.39","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","55 years and over","Current dollars","75","units","0","v1063665310","7.3.2.4.3.4","2093.00","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","55 years and over","Current dollars","75","units","0","v1063665322","7.3.2.5.3.4","1124.57","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","55 years and over","Current dollars","75","units","0","v1063665322","7.3.2.5.3.4","1399.68","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","55 years and over","Current dollars","75","units","0","v1063665322","7.3.2.5.3.4","1820.15","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","55 years and over","Current dollars","75","units","0","v1063665322","7.3.2.5.3.4","1914.30","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","55 years and over","Current dollars","75","units","0","v1063665322","7.3.2.5.3.4","1633.40","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","55 years and over","Current dollars","75","units","0","v1063665334","7.3.2.6.3.4","1526.70","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","55 years and over","Current dollars","75","units","0","v1063665334","7.3.2.6.3.4","1656.86","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","55 years and over","Current dollars","75","units","0","v1063665334","7.3.2.6.3.4","1596.12","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","55 years and over","Current dollars","75","units","0","v1063665334","7.3.2.6.3.4","1502.55","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","55 years and over","Current dollars","75","units","0","v1063665334","7.3.2.6.3.4","1703.54","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Business, finance and administration occupations [1]","Females","55 years and over","Current dollars","75","units","0","v1063665346","7.3.2.7.3.4","991.55","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Business, finance and administration occupations [1]","Females","55 years and over","Current dollars","75","units","0","v1063665346","7.3.2.7.3.4","1031.98","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Business, finance and administration occupations [1]","Females","55 years and over","Current dollars","75","units","0","v1063665346","7.3.2.7.3.4","1071.14","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Business, finance and administration occupations [1]","Females","55 years and over","Current dollars","75","units","0","v1063665346","7.3.2.7.3.4","1132.05","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Business, finance and administration occupations [1]","Females","55 years and over","Current dollars","75","units","0","v1063665346","7.3.2.7.3.4","1147.59","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in business and finance [11]","Females","55 years and over","Current dollars","75","units","0","v1063665358","7.3.2.8.3.4","1403.32","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in business and finance [11]","Females","55 years and over","Current dollars","75","units","0","v1063665358","7.3.2.8.3.4","1464.19","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in business and finance [11]","Females","55 years and over","Current dollars","75","units","0","v1063665358","7.3.2.8.3.4","1595.18","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in business and finance [11]","Females","55 years and over","Current dollars","75","units","0","v1063665358","7.3.2.8.3.4","1649.27","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in business and finance [11]","Females","55 years and over","Current dollars","75","units","0","v1063665358","7.3.2.8.3.4","1746.67","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Administrative and financial supervisors and administrative occupations [12]","Females","55 years and over","Current dollars","75","units","0","v1063665370","7.3.2.9.3.4","975.64","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Administrative and financial supervisors and administrative occupations [12]","Females","55 years and over","Current dollars","75","units","0","v1063665370","7.3.2.9.3.4","1005.39","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Administrative and financial supervisors and administrative occupations [12]","Females","55 years and over","Current dollars","75","units","0","v1063665370","7.3.2.9.3.4","1077.32","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Administrative and financial supervisors and administrative occupations [12]","Females","55 years and over","Current dollars","75","units","0","v1063665370","7.3.2.9.3.4","1079.94","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Administrative and financial supervisors and administrative occupations [12]","Females","55 years and over","Current dollars","75","units","0","v1063665370","7.3.2.9.3.4","1125.55","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Finance, insurance and related business administrative occupations [13]","Females","55 years and over","Current dollars","75","units","0","v1063665382","7.3.2.10.3.4","1050.78","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Finance, insurance and related business administrative occupations [13]","Females","55 years and over","Current dollars","75","units","0","v1063665382","7.3.2.10.3.4","1020.57","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Finance, insurance and related business administrative occupations [13]","Females","55 years and over","Current dollars","75","units","0","v1063665382","7.3.2.10.3.4","1045.59","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Finance, insurance and related business administrative occupations [13]","Females","55 years and over","Current dollars","75","units","0","v1063665382","7.3.2.10.3.4","1137.43","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Finance, insurance and related business administrative occupations [13]","Females","55 years and over","Current dollars","75","units","0","v1063665382","7.3.2.10.3.4","1175.14","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Office support occupations [14]","Females","55 years and over","Current dollars","75","units","0","v1063665394","7.3.2.11.3.4","848.75","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Office support occupations [14]","Females","55 years and over","Current dollars","75","units","0","v1063665394","7.3.2.11.3.4","882.33","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Office support occupations [14]","Females","55 years and over","Current dollars","75","units","0","v1063665394","7.3.2.11.3.4","912.22","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Office support occupations [14]","Females","55 years and over","Current dollars","75","units","0","v1063665394","7.3.2.11.3.4","960.54","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Office support occupations [14]","Females","55 years and over","Current dollars","75","units","0","v1063665394","7.3.2.11.3.4","960.29","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Distribution, tracking and scheduling co-ordination occupations [15]","Females","55 years and over","Current dollars","75","units","0","v1063665406","7.3.2.12.3.4","815.71","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Distribution, tracking and scheduling co-ordination occupations [15]","Females","55 years and over","Current dollars","75","units","0","v1063665406","7.3.2.12.3.4","885.86","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Distribution, tracking and scheduling co-ordination occupations [15]","Females","55 years and over","Current dollars","75","units","0","v1063665406","7.3.2.12.3.4","838.56","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Distribution, tracking and scheduling co-ordination occupations [15]","Females","55 years and over","Current dollars","75","units","0","v1063665406","7.3.2.12.3.4","969.99","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Distribution, tracking and scheduling co-ordination occupations [15]","Females","55 years and over","Current dollars","75","units","0","v1063665406","7.3.2.12.3.4","924.98","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Natural and applied sciences and related occupations [2]","Females","55 years and over","Current dollars","75","units","0","v1063665418","7.3.2.13.3.4","1409.81","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Natural and applied sciences and related occupations [2]","Females","55 years and over","Current dollars","75","units","0","v1063665418","7.3.2.13.3.4","1457.13","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Natural and applied sciences and related occupations [2]","Females","55 years and over","Current dollars","75","units","0","v1063665418","7.3.2.13.3.4","1454.88","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Natural and applied sciences and related occupations [2]","Females","55 years and over","Current dollars","75","units","0","v1063665418","7.3.2.13.3.4","1599.82","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Natural and applied sciences and related occupations [2]","Females","55 years and over","Current dollars","75","units","0","v1063665418","7.3.2.13.3.4","1559.80","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in natural and applied sciences [21]","Females","55 years and over","Current dollars","75","units","0","v1063665430","7.3.2.14.3.4","1550.45","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in natural and applied sciences [21]","Females","55 years and over","Current dollars","75","units","0","v1063665430","7.3.2.14.3.4","1573.83","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in natural and applied sciences [21]","Females","55 years and over","Current dollars","75","units","0","v1063665430","7.3.2.14.3.4","1621.96","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in natural and applied sciences [21]","Females","55 years and over","Current dollars","75","units","0","v1063665430","7.3.2.14.3.4","1717.60","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in natural and applied sciences [21]","Females","55 years and over","Current dollars","75","units","0","v1063665430","7.3.2.14.3.4","1654.62","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Technical occupations related to natural and applied sciences [22]","Females","55 years and over","Current dollars","75","units","0","v1063665442","7.3.2.15.3.4","1200.55","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Technical occupations related to natural and applied sciences [22]","Females","55 years and over","Current dollars","75","units","0","v1063665442","7.3.2.15.3.4","1248.18","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Technical occupations related to natural and applied sciences [22]","Females","55 years and over","Current dollars","75","units","0","v1063665442","7.3.2.15.3.4","1174.39","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Technical occupations related to natural and applied sciences [22]","Females","55 years and over","Current dollars","75","units","0","v1063665442","7.3.2.15.3.4","1402.94","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Technical occupations related to natural and applied sciences [22]","Females","55 years and over","Current dollars","75","units","0","v1063665442","7.3.2.15.3.4","1347.85","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Health occupations [3]","Females","55 years and over","Current dollars","75","units","0","v1063665454","7.3.2.16.3.4","1135.94","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Health occupations [3]","Females","55 years and over","Current dollars","75","units","0","v1063665454","7.3.2.16.3.4","1161.25","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Health occupations [3]","Females","55 years and over","Current dollars","75","units","0","v1063665454","7.3.2.16.3.4","1153.45","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Health occupations [3]","Females","55 years and over","Current dollars","75","units","0","v1063665454","7.3.2.16.3.4","1238.92","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Health occupations [3]","Females","55 years and over","Current dollars","75","units","0","v1063665454","7.3.2.16.3.4","1235.19","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in nursing [30]","Females","55 years and over","Current dollars","75","units","0","v1063665466","7.3.2.17.3.4","","x","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in nursing [30]","Females","55 years and over","Current dollars","75","units","0","v1063665466","7.3.2.17.3.4","1428.15","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in nursing [30]","Females","55 years and over","Current dollars","75","units","0","v1063665466","7.3.2.17.3.4","","x","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in nursing [30]","Females","55 years and over","Current dollars","75","units","0","v1063665466","7.3.2.17.3.4","","x","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in nursing [30]","Females","55 years and over","Current dollars","75","units","0","v1063665466","7.3.2.17.3.4","","x","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in health (except nursing) [31]","Females","55 years and over","Current dollars","75","units","0","v1063665478","7.3.2.18.3.4","1362.78","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in health (except nursing) [31]","Females","55 years and over","Current dollars","75","units","0","v1063665478","7.3.2.18.3.4","1631.15","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in health (except nursing) [31]","Females","55 years and over","Current dollars","75","units","0","v1063665478","7.3.2.18.3.4","1604.58","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in health (except nursing) [31]","Females","55 years and over","Current dollars","75","units","0","v1063665478","7.3.2.18.3.4","1703.12","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in health (except nursing) [31]","Females","55 years and over","Current dollars","75","units","0","v1063665478","7.3.2.18.3.4","1737.07","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Technical occupations in health [32]","Females","55 years and over","Current dollars","75","units","0","v1063665490","7.3.2.19.3.4","1064.04","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Technical occupations in health [32]","Females","55 years and over","Current dollars","75","units","0","v1063665490","7.3.2.19.3.4","1066.06","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Technical occupations in health [32]","Females","55 years and over","Current dollars","75","units","0","v1063665490","7.3.2.19.3.4","1050.11","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Technical occupations in health [32]","Females","55 years and over","Current dollars","75","units","0","v1063665490","7.3.2.19.3.4","1127.87","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Technical occupations in health [32]","Females","55 years and over","Current dollars","75","units","0","v1063665490","7.3.2.19.3.4","1197.03","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Assisting occupations in support of health services [34]","Females","55 years and over","Current dollars","75","units","0","v1063665502","7.3.2.20.3.4","830.92","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Assisting occupations in support of health services [34]","Females","55 years and over","Current dollars","75","units","0","v1063665502","7.3.2.20.3.4","839.15","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Assisting occupations in support of health services [34]","Females","55 years and over","Current dollars","75","units","0","v1063665502","7.3.2.20.3.4","816.20","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Assisting occupations in support of health services [34]","Females","55 years and over","Current dollars","75","units","0","v1063665502","7.3.2.20.3.4","857.61","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Assisting occupations in support of health services [34]","Females","55 years and over","Current dollars","75","units","0","v1063665502","7.3.2.20.3.4","852.74","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","55 years and over","Current dollars","75","units","0","v1063665514","7.3.2.21.3.4","1316.56","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","55 years and over","Current dollars","75","units","0","v1063665514","7.3.2.21.3.4","1334.93","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","55 years and over","Current dollars","75","units","0","v1063665514","7.3.2.21.3.4","1306.61","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","55 years and over","Current dollars","75","units","0","v1063665514","7.3.2.21.3.4","1388.02","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","55 years and over","Current dollars","75","units","0","v1063665514","7.3.2.21.3.4","1454.99","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in education services [40]","Females","55 years and over","Current dollars","75","units","0","v1063665526","7.3.2.22.3.4","1623.27","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in education services [40]","Females","55 years and over","Current dollars","75","units","0","v1063665526","7.3.2.22.3.4","1665.48","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in education services [40]","Females","55 years and over","Current dollars","75","units","0","v1063665526","7.3.2.22.3.4","1660.91","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in education services [40]","Females","55 years and over","Current dollars","75","units","0","v1063665526","7.3.2.22.3.4","1857.85","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in education services [40]","Females","55 years and over","Current dollars","75","units","0","v1063665526","7.3.2.22.3.4","1824.66","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in law and social, community and government services [41]","Females","55 years and over","Current dollars","75","units","0","v1063665538","7.3.2.23.3.4","1444.48","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in law and social, community and government services [41]","Females","55 years and over","Current dollars","75","units","0","v1063665538","7.3.2.23.3.4","1399.49","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in law and social, community and government services [41]","Females","55 years and over","Current dollars","75","units","0","v1063665538","7.3.2.23.3.4","1421.77","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in law and social, community and government services [41]","Females","55 years and over","Current dollars","75","units","0","v1063665538","7.3.2.23.3.4","1462.82","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Professional occupations in law and social, community and government services [41]","Females","55 years and over","Current dollars","75","units","0","v1063665538","7.3.2.23.3.4","1559.75","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Paraprofessional occupations in legal, social, community and education services [42]","Females","55 years and over","Current dollars","75","units","0","v1063665550","7.3.2.24.3.4","1011.87","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Paraprofessional occupations in legal, social, community and education services [42]","Females","55 years and over","Current dollars","75","units","0","v1063665550","7.3.2.24.3.4","1023.69","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Paraprofessional occupations in legal, social, community and education services [42]","Females","55 years and over","Current dollars","75","units","0","v1063665550","7.3.2.24.3.4","965.91","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Paraprofessional occupations in legal, social, community and education services [42]","Females","55 years and over","Current dollars","75","units","0","v1063665550","7.3.2.24.3.4","963.70","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Paraprofessional occupations in legal, social, community and education services [42]","Females","55 years and over","Current dollars","75","units","0","v1063665550","7.3.2.24.3.4","1080.55","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Occupations in front-line public protection services [43]","Females","55 years and over","Current dollars","75","units","0","v1063665562","7.3.2.25.3.4","","x","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Occupations in front-line public protection services [43]","Females","55 years and over","Current dollars","75","units","0","v1063665562","7.3.2.25.3.4","","x","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Occupations in front-line public protection services [43]","Females","55 years and over","Current dollars","75","units","0","v1063665562","7.3.2.25.3.4","","x","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Occupations in front-line public protection services [43]","Females","55 years and over","Current dollars","75","units","0","v1063665562","7.3.2.25.3.4","","x","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Occupations in front-line public protection services [43]","Females","55 years and over","Current dollars","75","units","0","v1063665562","7.3.2.25.3.4","","x","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Care providers and educational, legal and public protection support occupations [44]","Females","55 years and over","Current dollars","75","units","0","v1063665574","7.3.2.26.3.4","840.61","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Care providers and educational, legal and public protection support occupations [44]","Females","55 years and over","Current dollars","75","units","0","v1063665574","7.3.2.26.3.4","826.29","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Care providers and educational, legal and public protection support occupations [44]","Females","55 years and over","Current dollars","75","units","0","v1063665574","7.3.2.26.3.4","","x","","","2"
